Level1,Level2,Level3,Content
STEP1,1の謎,ヒント１,赤い矢印の順に読むと、「たすく」となります。<br>このことから、Nは「？た」、「？？す」、「？く」の３パターンの表し方があることがわかります。<br>Nの反対がSになるものをあてはめて考えましょう。
STEP1,1の謎,ヒント２,問題の左下に注目すると、包囲記号があります。<br>これも手がかりにすると、「N」と「S」は方角を表していることがわかります。<br>Nが表す方角を「？た」、「？？す」、「？く」にあてはまるように３パターンともの空欄を考えてみましょう。
STEP1,1の謎,ヒント３,Nになるように空欄を埋めると、上から「きた」、「のーす」、「ほく」と当てはめることができます。<br>同じ要領で、Sの場合も考えましょう。
STEP1,1の謎,答え,上から「みなみ」「さうす」「なん」が当てはまります。赤矢印の順に読むと、答えは「あなうんす」です。
STEP1,2の謎,ヒント１,書かれている10マスの並びを日常のどこかで見たことがないでしょうか。<br>この並びのものを手がかりに、謎を解き明かしましょう。
STEP1,2の謎,ヒント２,「１２３る」が表すイラストは「はなまる」です。<br>「１２３」それぞれの位置に「は、な、ま」があてはまるものを考えましょう。
STEP1,2の謎,答え,ずばり、スマホのフリック入力キーボードを表しています。<br>「４２５」の位置にあてはまるのは「あなた」です。
STEP1,3の謎,ヒント１,黒い矢印に書かれたことに素直に従ってみましょう。
STEP1,3の謎,ヒント２,“さんま”の「ま」を「じん」に、「さ」を「に」に変えることで、確かに「にんじん」となります。<br>同じ考え方で”ANSWER”に対してやってみましょう。
STEP1,3の謎,答え,“ANSWER”の「W」を「TH」にすると“ANSTHER”<br>更に「S」を「O」にすると”ANOTHER”となります。答えは「あなざー」です。
STEP1,4の謎,ヒント１,まずは、”＝”で示されている、コットンを手がかりにして解きましょう。<br>分かる情報をあてはめると、「コ？ル？」と、「？ット」となります。<br>これが対義語の関係になるような言葉を考えましょう。
STEP1,4の謎,ヒント２,色味も手がかりです。<br>青から感じられる要素、赤から感じられる要素を入れてみましょう。
STEP1,4の謎,答え,ずばり、青には「コールド」、赤には「ホット」と当てはめることができます。<br>マスの形から、どの部分が対応しているかを参照して埋めることで、答えは「ホールド」です。
STEP1,アンサーシート,ヒント１,アンサーシートには、各１マス目全てに穴が空いています。<br>この穴をしっかりと「穴」だと捉えて考えてみましょう。
STEP1,アンサーシート,ヒント２,１～４の答えの単語に注目し、どうにかしてこの解答欄に工夫して入れられないかを考えてみましょう。
STEP1,アンサーシート,答え,１：穴うんす、２：穴た、３：穴ざー、４穴（ホール）ど<br>といったように、「あな」または「ホール」として解釈することで、マスに答えを埋めることができます。<br>４番目の答えを埋めた「ど」は、右上が塗りつぶされており、濁点が黒部分に同化して消えます。<br>この状態で赤矢印の順に読むと、答えは「スタート」です。
STEP2,Aの謎,ヒント１,
STEP2,Aの謎,ヒント２,
STEP2,Aの謎,ヒント３,
STEP2,Aの謎,答え,
STEP2,Bの謎,ヒント１,
STEP2,Bの謎,ヒント２,
STEP2,Bの謎,ヒント３,
STEP2,Bの謎,答え,
STEP2,Cの謎,ヒント１,
STEP2,Cの謎,ヒント２,
STEP2,Cの謎,ヒント３,
STEP2,Cの謎,答え,
STEP2,Dの謎,ヒント１,
STEP2,Dの謎,ヒント２,
STEP2,Dの謎,ヒント３,
STEP2,Dの謎,答え,
STEP2,Eの謎,ヒント１,
STEP2,Eの謎,ヒント２,
STEP2,Eの謎,ヒント３,
STEP2,Eの謎,答え,
STEP2,Fの謎,ヒント１,
STEP2,Fの謎,ヒント２,
STEP2,Fの謎,ヒント３,
STEP2,Fの謎,答え,
STEP2,６問全て解けてから,ヒント１,
STEP2,６問全て解けてから,ヒント２,
STEP2,６問全て解けてから,ヒント３,
STEP2,６問全て解けてから,答え,
